gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp,pitches,entry,score_v,score_h,inherited,suspend,temp,hometeam,year,day,home,margin,absMargin,pitcherRole,suspended,relief,rest,p1,p3,p7,previous,consecutive,ubb,net,y,priorRelief,prior_net,prior_p_bfp,baseline,doubleAppearance,restGroup,b2b,rest1,rest2,heavyYesterday,threeDays,p3_10,p7_10,month
WAS202309242,abboc001,WAS,4,value,3,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20230924,2,WAS11,h,ATL,0,1,0,regular,y,y,15.000000,7,6,4,2,,67,WAS,2023,2023-09-24,1,-2,2,True,False,True,2,0.000000,71.000000,97.000000,71.000000,0,0,1,0.250000,18,15,154,0.118110,False,2 days,0,0,1,0,0,7.100000,9.700000,9
BAL202309270,abboc001,WAS,3,value,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,20230927,0,BAL12,v,BAL,0,1,0,regular,y,y,15.000000,7,1,5,0,,67,BAL,2023,2023-09-27,0,-4,4,True,False,True,2,0.000000,15.000000,86.000000,15.000000,0,0,3,1.000000,19,16,158,0.120155,False,2 days,0,0,1,0,0,1.500000,8.600000,9
ATL202309300,abboc001,WAS,5,value,3,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20230930,0,ATL03,v,ATL,0,1,0,regular,y,y,16.000000,7,3,5,0,,81,ATL,2023,2023-09-30,0,-2,2,True,False,True,2,0.000000,15.000000,30.000000,15.000000,0,0,0,0.000000,20,19,161,0.130268,False,2 days,0,0,1,0,0,1.500000,3.000000,9
ATL202310010,abboc001,WAS,2,value,5,0,8,1,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,,,,,,,20231001,0,ATL03,v,ATL,1,0,0,regular,y,y,34.000000,6,5,5,0,,81,ATL,2023,2023-10-01,0,0,0,True,False,True,0,16.000000,16.000000,46.000000,16.000000,1,2,0,0.000000,21,19,165,0.128302,False,0 days,1,0,0,0,0,1.600000,4.600000,10
NYA202304210,abrea001,NYA,2,value,6,0,10,3,1,0,0,2,2,1,0,4,0,0,0,0,0,0,0,0,,,,,,,20230421,0,NYC21,h,TOR,0,1,0,regular,y,y,44.000000,7,4,1,0,,60,NYA,2023,2023-04-21,1,-3,3,True,False,True,2,0.000000,18.000000,18.000000,18.000000,0,1,3,0.300000,5,5,33,0.150376,False,2 days,0,0,1,0,0,1.800000,1.800000,4
MIN202304240,abrea001,NYA,3,value,4,0,8,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,,,,,,,20230424,0,MIN04,v,MIN,0,1,0,regular,y,y,32.000000,5,0,4,1,,49,MIN,2023,2023-04-24,0,-4,4,True,False,True,2,0.000000,44.000000,62.000000,44.000000,0,2,-1,-0.125000,6,8,43,0.160839,False,2 days,0,0,1,0,0,4.400000,6.200000,4
TEX202304280,abrea001,NYA,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1.000000,,20230428,0,ARL03,v,TEX,0,1,0,regular,y,y,7.000000,8,2,5,0,,74,TEX,2023,2023-04-28,0,-3,3,True,False,True,3,0.000000,0.000000,76.000000,32.000000,0,0,1,0.333333,7,7,51,0.145695,False,3+ days,0,0,0,0,0,0.000000,7.600000,4
TEX202304300,abrea001,NYA,2,value,3,0,9,2,0,0,1,6,6,4,0,1,0,0,0,0,0,0,0,0,,,,,,,20230430,0,ARL03,v,TEX,0,1,0,regular,y,y,41.000000,5,1,7,0,,82,TEX,2023,2023-04-30,0,-6,6,True,False,True,1,0.000000,7.000000,39.000000,7.000000,0,4,-3,-0.333333,8,8,54,0.149351,False,1 day,0,1,0,0,0,0.700000,3.900000,4
NYA202305030,abrea001,NYA,6,value,3,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.000000,,,,1.000000,,20230503,0,NYC21,h,CLE,1,0,0,regular,y,y,4.000000,10,3,3,1,,53,NYA,2023,2023-05-03,1,0,0,True,False,True,2,0.000000,41.000000,48.000000,41.000000,0,0,1,0.333333,9,5,63,0.122699,False,2 days,0,0,1,0,0,4.100000,4.800000,5
TBA202305050,abrea001,NYA,2,value,4,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,20230505,0,STP01,v,TBA,0,1,0,regular,y,y,25.000000,5,0,4,0,,72,TBA,2023,2023-05-05,0,-4,4,True,False,True,1,0.000000,4.000000,52.000000,4.000000,0,0,1,0.200000,10,6,66,0.126506,False,1 day,0,1,0,0,0,0.400000,5.200000,5
TBA202305070,abrea001,NYA,6,value,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1.000000,,,1.000000,,20230507,0,STP01,v,TBA,0,1,0,regular,y,y,6.000000,10,7,7,1,,72,TBA,2023,2023-05-07,0,0,0,True,False,True,1,0.000000,25.000000,70.000000,25.000000,0,0,0,0.000000,11,7,71,0.128655,False,1 day,0,1,0,0,0,2.500000,7.000000,5
NYA202305090,abrea001,NYA,2,value,2,0,4,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20230509,0,NYC21,h,OAK,1,0,0,regular,y,y,15.000000,7,2,7,0,,62,NYA,2023,2023-05-09,1,5,5,True,False,True,1,0.000000,6.000000,35.000000,6.000000,0,1,0,0.000000,12,7,73,0.127168,False,1 day,0,1,0,0,0,0.600000,3.500000,5
NYA202305110,abrea001,NYA,3,value,3,0,6,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,20230511,0,NYC21,h,TBA,0,1,0,regular,y,y,22.000000,7,4,0,0,,78,NYA,2023,2023-05-11,1,-4,4,True,False,True,1,0.000000,15.000000,46.000000,15.000000,0,2,-2,-0.333333,13,7,77,0.124294,False,1 day,0,1,0,0,0,1.500000,4.600000,5
NYA202305140,abrea001,NYA,2,value,7,0,11,2,0,0,1,1,1,1,0,3,1,0,0,0,0,1,0,0,,,,,,,20230514,0,NYC21,h,TBA,0,1,0,regular,y,y,41.000000,5,4,4,3,,68,NYA,2023,2023-05-14,1,0,0,True,False,True,2,0.000000,22.000000,43.000000,22.000000,0,1,2,0.181818,14,5,83,0.109290,False,2 days,0,0,1,0,0,2.200000,4.300000,5
TOR202305180,abrea001,NYA,3,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20230518,0,TOR02,v,TOR,1,0,0,regular,y,y,16.000000,8,3,2,0,,68,TOR,2023,2023-05-18,0,1,1,True,False,True,3,0.000000,0.000000,63.000000,41.000000,0,0,2,0.666667,15,7,94,0.113402,False,3+ days,0,0,0,0,0,0.000000,6.300000,5
CIN202305190,abrea001,NYA,3,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20230519,0,CIN09,v,CIN,1,0,0,regular,y,y,21.000000,7,3,2,0,,77,CIN,2023,2023-05-19,0,1,1,True,False,True,0,16.000000,16.000000,57.000000,16.000000,1,1,0,0.000000,16,9,97,0.121827,False,0 days,1,0,0,0,0,1.600000,5.700000,5
CIN202305210,abrea001,NYA,2,value,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.000000,,,,,,20230521,0,CIN09,v,CIN,1,0,0,regular,y,y,17.000000,5,2,1,1,,68,CIN,2023,2023-05-21,0,1,1,True,False,True,1,0.000000,37.000000,78.000000,21.000000,0,0,1,0.250000,17,9,101,0.119403,False,1 day,0,1,0,0,0,3.700000,7.800000,5
NYA202305240,abrea001,NYA,3,value,4,0,6,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,20230524,0,NYC21,h,BAL,0,1,0,regular,y,y,17.000000,7,6,5,2,,62,NYA,2023,2023-05-24,1,-1,1,True,False,True,2,0.000000,17.000000,54.000000,17.000000,0,0,1,0.166667,18,10,105,0.121951,False,2 days,0,0,1,0,0,1.700000,5.400000,5
